,SPXTR
11-May-22,8285.8187
10-May-22,8424.1959
9-May-22,8403.4963
6-May-22,8680.9666
5-May-22,8729.2112
4-May-22,9050.9041
3-May-22,8788.3617
2-May-22,8746.0534
29-Apr-22,8696.6467
28-Apr-22,9023.4155
27-Apr-22,8804.9976
26-Apr-22,8786.4739
25-Apr-22,9040.8594
22-Apr-22,8989.5143
21-Apr-22,9245.8611
20-Apr-22,9383.5428
19-Apr-22,9389.2129
18-Apr-22,9240.6927
14-Apr-22,9242.5807
13-Apr-22,9356.2125
12-Apr-22,9251.0666
11-Apr-22,9282.4777
8-Apr-22,9441.8365
7-Apr-22,9466.7614
6-Apr-22,9425.4897
5-Apr-22,9517.9385
4-Apr-22,9637.3672
1-Apr-22,9559.9539
31-Mar-22,9527.4585
30-Mar-22,9678.2997
29-Mar-22,9738.5953
28-Mar-22,9620.6613
25-Mar-22,9552.3974
24-Mar-22,9504.1853
23-Mar-22,9368.9794
22-Mar-22,9484.8559
21-Mar-22,9378.8441
18-Mar-22,9382.4311
17-Mar-22,9274.1694
16-Mar-22,9160.5119
15-Mar-22,8959.7408
14-Mar-22,8771.7508
11-Mar-22,8835.3982
10-Mar-22,8950.9018
9-Mar-22,8988.6502
8-Mar-22,8762.1121
7-Mar-22,8825.7231
4-Mar-22,9094.0442
3-Mar-22,9166.1307
2-Mar-22,9213.3948
1-Mar-22,9044.471
28-Feb-22,9186.3728
25-Feb-22,9207.8533
24-Feb-22,9005.3684
23-Feb-22,8871.9528
22-Feb-22,9038.3167
18-Feb-22,9130.8113
17-Feb-22,9195.3537
16-Feb-22,9393.0931
15-Feb-22,9383.5681
14-Feb-22,9236.8581
11-Feb-22,9271.8022
10-Feb-22,9450.7178
9-Feb-22,9623.8411
8-Feb-22,9484.9518
7-Feb-22,9405.8427
4-Feb-22,9440.5829
3-Feb-22,9390.575
2-Feb-22,9624.8923
1-Feb-22,9534.9547
31-Jan-22,9469.9159
28-Jan-22,9294.2137
27-Jan-22,9072.2424
26-Jan-22,9120.7538
25-Jan-22,9134.3336
24-Jan-22,9246.8371
21-Jan-22,9221.2817
20-Jan-22,9398.9642
19-Jan-22,9503.1353
18-Jan-22,9595.9259
14-Jan-22,9775.5299
13-Jan-22,9767.3544
12-Jan-22,9907.3758
11-Jan-22,9879.3903
10-Jan-22,9789.7226
7-Jan-22,9803.845
6-Jan-22,9841.9242
5-Jan-22,9850.7033
4-Jan-22,10044.7466
3-Jan-22,10050.4083
31-Dec-21,9986.6979
30-Dec-21,10012.5135
29-Dec-21,10041.611
28-Dec-21,10027.5329
27-Dec-21,10037.6683
23-Dec-21,9900.2995
22-Dec-21,9838.8959
21-Dec-21,9738.7257
20-Dec-21,9567.9056
17-Dec-21,9678.0349
16-Dec-21,9778.094
