Date,Open,High,Low,Close,Adj Close
4-May-22,2.962,3.011,2.911,2.917,2.917
3-May-22,2.958,2.969,2.913,2.96,2.96
2-May-22,2.922,3.002,2.907,2.996,2.996
1-May-22,,,,,
29-Apr-22,2.854,2.934,2.854,2.887,2.887
28-Apr-22,2.867,2.888,2.836,2.863,2.863
27-Apr-22,2.753,2.82,2.73,2.818,2.818
26-Apr-22,2.761,2.782,2.724,2.772,2.772
25-Apr-22,2.837,2.843,2.76,2.826,2.826
24-Apr-22,,,,,
22-Apr-22,2.934,2.938,2.864,2.906,2.906
21-Apr-22,2.854,2.954,2.846,2.917,2.917
20-Apr-22,2.88,2.903,2.819,2.84,2.84
19-Apr-22,2.88,2.93,2.88,2.913,2.913
18-Apr-22,2.862,2.868,2.81,2.862,2.862
17-Apr-22,,,,,
14-Apr-22,2.667,2.835,2.667,2.828,2.828
13-Apr-22,2.746,2.761,2.646,2.687,2.687
12-Apr-22,2.761,2.771,2.674,2.725,2.725
11-Apr-22,2.769,2.792,2.734,2.78,2.78
10-Apr-22,,,,,
8-Apr-22,2.689,2.728,2.668,2.713,2.713
7-Apr-22,2.63,2.673,2.609,2.652,2.652
6-Apr-22,2.628,2.641,2.568,2.609,2.609
5-Apr-22,2.48,2.567,2.447,2.556,2.556
4-Apr-22,2.404,2.434,2.371,2.412,2.412
3-Apr-22,,,,,
1-Apr-22,2.404,2.456,2.357,2.377,2.377
31-Mar-22,2.322,2.351,2.311,2.327,2.327
30-Mar-22,2.402,2.435,2.345,2.358,2.358
29-Mar-22,2.496,2.496,2.38,2.4,2.4
28-Mar-22,2.464,2.481,2.414,2.477,2.477
27-Mar-22,,,,,
24-Mar-22,2.359,2.503,2.354,2.492,2.492
24-Mar-22,2.368,2.386,2.326,2.341,2.341
23-Mar-22,2.374,2.395,2.299,2.321,2.321
22-Mar-22,2.355,2.39,2.333,2.373,2.373
21-Mar-22,2.207,2.315,2.207,2.315,2.315
20-Mar-22,,,,,
18-Mar-22,2.151,2.178,2.137,2.148,2.148
17-Mar-22,2.142,2.194,2.135,2.192,2.192
16-Mar-22,2.169,2.246,2.149,2.188,2.188
15-Mar-22,2.119,2.162,2.078,2.16,2.16
14-Mar-22,2.078,2.14,2.069,2.14,2.14
13-Mar-22,,,,,
11-Mar-22,2.011,2.02,1.976,2.004,2.004
10-Mar-22,1.974,2.021,1.946,2.011,2.011
9-Mar-22,1.911,1.95,1.892,1.948,1.948
8-Mar-22,1.851,1.877,1.835,1.872,1.872
7-Mar-22,1.773,1.806,1.719,1.751,1.751
6-Mar-22,,,,,
4-Mar-22,1.794,1.816,1.7,1.724,1.724
3-Mar-22,1.847,1.897,1.83,1.844,1.844
2-Mar-22,1.777,1.868,1.76,1.865,1.865
1-Mar-22,1.734,1.794,1.682,1.707,1.707
28-Feb-22,1.917,1.92,1.839,1.839,1.839
27-Feb-22,,,,,
25-Feb-22,1.998,2.011,1.963,1.986,1.986
24-Feb-22,1.882,1.969,1.856,1.969,1.969
23-Feb-22,1.981,2,1.955,1.977,1.977
22-Feb-22,1.944,1.96,1.92,1.948,1.948
20-Feb-22,,,,,
18-Feb-22,1.96,1.96,1.918,1.932,1.932
17-Feb-22,2.002,2.014,1.953,1.972,1.972
16-Feb-22,2.035,2.065,2.007,2.047,2.047
15-Feb-22,2.033,2.056,2.024,2.045,2.045
14-Feb-22,1.963,2.026,1.955,1.996,1.996
13-Feb-22,,,,,
11-Feb-22,2.007,2.063,1.934,1.955,1.955
10-Feb-22,1.929,2.05,1.927,2.031,2.031
9-Feb-22,1.936,1.947,1.909,1.929,1.929
8-Feb-22,1.943,1.971,1.943,1.954,1.954
7-Feb-22,1.921,1.939,1.91,1.916,1.916
6-Feb-22,,,,,
