Date,USD1Y,USD2Y,USD3Y,USD4Y,USD5Y,USD6Y,USD7Y,USD8Y,USD9Y,USD10Y,USD12Y,USD15Y,USD20Y,USD25Y,USD30Y,USD40Y,USD50Y
11-May-22,2.468,2.875,2.931,2.921,2.912,2.918,2.931,2.939,2.949,2.961,2.989,2.998,2.972,2.863,2.75,2.541,2.371
10-May-22,2.406,2.833,2.901,2.902,2.901,2.913,2.932,2.944,2.955,2.968,2.992,3.013,2.98,2.88,2.776,2.576,2.409
9-May-22,2.4,2.857,2.94,2.974,2.992,3.02,3.039,3.055,3.072,3.088,3.105,3.122,3.084,2.986,2.885,2.695,2.521
6-May-22,2.479,2.954,3.032,3.052,3.055,3.071,3.081,3.09,3.104,3.118,3.129,3.134,3.091,2.993,2.893,2.698,2.529
5-May-22,2.505,3.009,3.088,3.102,3.095,3.102,3.105,3.107,3.115,3.125,3.133,3.136,3.091,2.996,2.897,2.702,2.534
4-May-22,2.591,3.071,3.124,3.109,3.074,3.058,3.042,3.028,3.022,3.024,3.027,3.005,2.951,2.847,2.741,2.558,2.401
3-May-22,2.514,3.001,3.059,3.048,3.015,3.002,2.988,2.976,2.971,2.972,2.975,2.964,2.909,2.812,2.714,2.531,2.374
2-May-22,2.504,2.992,3.048,3.03,2.99,2.973,2.959,2.947,2.943,2.945,2.953,2.939,2.895,2.8,2.701,2.518,2.361
29-Apr-22,2.504,2.992,3.048,3.03,2.99,2.973,2.959,2.947,2.943,2.945,2.953,2.939,2.895,2.8,2.701,2.518,2.361
28-Apr-22,2.424,2.912,2.983,2.972,2.935,2.92,2.909,2.9,2.898,2.902,2.91,2.904,2.87,2.778,2.683,2.501,2.344
27-Apr-22,2.322,2.772,2.833,2.831,2.811,2.808,2.805,2.804,2.81,2.818,2.826,2.843,2.807,2.729,2.648,2.465,2.308
26-Apr-22,2.344,2.805,2.869,2.847,2.818,2.797,2.786,2.777,2.773,2.775,2.788,2.791,2.759,2.678,2.592,2.412,2.252
25-Apr-22,2.345,2.817,2.877,2.848,2.817,2.801,2.797,2.791,2.788,2.789,2.795,2.804,2.766,2.684,2.603,2.423,2.264
22-Apr-22,2.411,2.965,3.044,3.015,2.977,2.953,2.943,2.931,2.922,2.918,2.912,2.905,2.869,2.78,2.681,2.501,2.341
21-Apr-22,2.36,2.951,3.047,3.038,3.015,2.994,2.98,2.966,2.957,2.955,2.957,2.939,2.911,2.823,2.714,2.534,2.374
20-Apr-22,2.238,2.815,2.912,2.911,2.898,2.887,2.882,2.876,2.874,2.877,2.884,2.882,2.843,2.758,2.669,2.489,2.329
